,FirstImprovementSearch,FirstChangeSearch,BestImprovementSearch,DeepSearch
713,20591,21649,19515,21359
714,20591,21649,19515,21359
715,20591,21649,19515,21359
716,20591,21649,19515,21359
717,20591,21649,19515,21359
718,20591,21374,19515,21359
719,20591,21374,19515,21359
720,20591,21374,19515,21359
721,20591,21374,19515,21359
722,20591,21374,19515,21359
723,20591,21374,19515,21359
724,20591,21374,19515,21359
725,20591,21374,19515,21359
726,20591,21374,19515,21359
727,20591,21374,19515,21359
728,20591,21223,19515,21359
729,20591,21223,19515,21359
730,20591,21223,19515,21359
731,20591,21223,19515,21359
732,20591,21223,19515,21359
733,20591,21223,19515,21359
734,20591,21223,19515,21359
735,20591,21223,19515,21359
736,20591,21223,19515,21359
737,20591,21223,19515,21359
738,20591,21223,19515,21359
739,20591,21223,19515,21359
740,20591,21223,19515,21359
741,20591,21223,19515,21359
742,20591,21223,19515,21359
743,20591,21223,19515,21359
744,20591,21223,19515,21359
745,20591,21223,19515,21359
746,20591,21223,19515,21359
747,20591,21223,19515,21359
748,20591,21223,19515,21359
749,20591,21223,19515,21359
750,20591,21223,19515,21359
751,20591,21223,19515,21359
752,20591,21223,19515,21359
753,20591,21223,19515,21359
754,20591,21160,19515,21359
755,20591,21160,19515,21359
756,20591,21160,19515,21359
757,20591,21151,19515,21359
758,20591,21151,19515,21359
759,20591,21151,19515,21359
760,20591,21151,19515,21359
761,20591,21151,19515,21359
762,20591,21151,19515,21359
763,20591,21151,19515,21359
764,20591,21151,19515,21359
765,20591,21071,19515,21359
766,20591,21071,19515,21359
767,20591,21064,19515,21359
768,20591,21064,19515,21359
769,20591,21064,19515,21359
770,20591,20970,19515,21359
771,20591,20970,19515,21359
772,20591,20970,19515,21359
773,20591,20970,19515,21359
774,20591,20970,19515,21359
775,20591,20970,19515,21359
776,20591,20970,19515,21359
777,20591,20970,19515,21359
778,20591,20970,19515,21359
779,20591,20970,19515,21359
780,20591,20970,19515,21359
781,20591,20970,19515,21359
782,20591,20970,19515,21359
783,20591,20869,19515,21359
784,20591,20869,19515,21359
785,20591,20869,19515,21359
786,20591,20841,19515,21359
787,20591,20841,19515,21359
788,20591,20841,19515,21359
789,20591,20841,19515,21359
790,20591,20841,19515,21359
791,20591,20841,19515,21359
792,20591,20841,19515,21359
793,20591,20837,19515,21359
794,20591,20837,19515,21359
795,20591,20830,19515,21359
796,20591,20830,19515,21359
797,20591,20830,19515,21359
798,20591,20830,19515,21359
799,20591,20830,19515,21359
800,20591,20830,19515,21359
801,20591,20830,19515,21359
802,20591,20830,19515,21359
803,20591,20830,19515,21359
804,20591,20830,19515,21359
805,20591,20830,19515,21359
806,20591,20825,19515,21359
807,20591,20825,19515,21359
808,20591,20825,19515,21359
809,20591,20825,19515,21359
810,20591,20825,19515,21359
811,20591,20825,19515,21359
812,20591,20825,19515,21359
813,20591,20825,19515,21359
814,20591,20825,19515,21359
815,20591,20825,19515,21359
816,20591,20825,19515,21359
817,20591,20825,19515,21359
818,20591,20825,19515,21359
819,20591,20825,19515,21359
820,20591,20825,19515,21359
821,20591,20825,19515,21359
822,20591,20825,19515,21359
823,20591,20825,19515,21359
824,20591,20789,19515,21359
825,20591,20789,19515,21359
826,20591,20789,19515,21359
827,20591,20789,19515,21359
828,20591,20789,19515,21359
829,20591,20740,19515,21359
830,20591,20698,19515,21359
831,20591,20698,19515,21359
832,20591,20698,19515,21359
833,20591,20698,19515,21359
834,20591,20698,19515,21359
835,20591,20698,19515,21359
836,20591,20698,19515,21359
837,20591,20698,19515,21359
838,20591,20664,19515,21359
839,20591,20664,19515,21359
840,20591,20664,19515,21359
841,20591,20664,19515,21359
842,20591,20664,19515,21359
843,20591,20664,19515,21359
844,20591,20664,19515,21359
845,20591,20664,19515,21359
846,20591,20664,19515,21359
847,20591,20664,19515,21359
848,20591,20664,19515,21359
849,20591,20664,19515,21359
850,20591,20664,19515,21359
851,20591,20664,19515,21359
852,20591,20664,19515,21359
853,20591,20664,19515,21359
854,20591,20664,19515,21359
855,20591,20664,19515,21359
856,20591,20664,19515,21359
857,20591,20664,19515,21359
858,20591,20664,19515,21359
859,20591,20664,19515,21359
860,20591,20664,19515,21359
861,20591,20664,19515,21359
862,20591,20664,19515,21359
863,20591,20664,19515,21359
864,20591,20664,19515,21359
865,20591,20664,19515,21359
866,20591,20664,19515,21359
867,20591,20664,19515,21359
868,20591,20664,19515,21359
869,20591,20664,19515,21359
870,20591,20664,19515,21359
871,20591,20664,19515,21359
872,20591,20664,19515,21359
873,20591,20664,19515,21359
874,20591,20664,19515,21359
875,20591,20664,19515,21359
876,20591,20664,19515,21359
877,20591,20664,19515,21359
878,20591,20664,19515,21359
879,20591,20664,19515,21359
880,20591,20664,19515,21359
881,20591,20664,19515,21359
882,20591,20664,19515,21359
883,20591,20664,19515,21359
884,20591,20664,19515,21359
885,20591,20664,19515,21359
886,20591,20664,19515,21359
887,20591,20638,19515,21359
888,20591,20638,19515,21359
889,20591,20494,19515,21359
890,20591,20494,19515,21359
891,20591,20494,19515,21359
892,20591,20494,19515,21359
893,20591,20494,19515,21359
894,20591,20494,19515,21359
895,20591,20494,19515,21359
896,20591,20494,19515,21359
897,20591,20494,19515,21359
898,20591,20494,19515,21359
899,20591,20494,19515,21359
900,20591,20494,19515,21359
901,20591,20494,19515,21359
902,20591,20494,19515,21359
903,20591,20494,19515,21359
904,20591,20494,19515,21359
905,20591,20494,19515,21359
906,20591,20494,19515,21359
907,20591,20494,19515,21359
908,20591,20494,19515,21359
909,20591,20494,19515,21359
910,20591,20494,19515,21359
911,20591,20494,19515,21359
912,20591,20494,19515,21359
913,20591,20494,19515,21359
914,20591,20494,19515,21359
915,20591,20494,19515,21359
916,20591,20494,19515,21359
917,20591,20494,19515,21359
918,20591,20494,19515,21359
919,20591,20494,19515,21359
920,20591,20494,19515,21359
921,20591,20494,19515,21359
922,20591,20494,19515,21359
923,20591,20494,19515,21359
924,20591,20494,19515,21359
925,20591,20494,19515,21359
926,20591,20494,19515,21359
927,20591,20494,19515,21359
928,20591,20494,19515,21359
929,20591,20494,19515,21359
930,20591,20494,19515,21359
931,20591,20494,19515,21359
932,20591,20494,19515,21359
933,20591,20494,19515,21359
934,20591,20494,19515,21359
